hotel_id,name,amenities,stars,country,city,price,review_score,continent
1342487,Hilton Garden Inn Toronto Vaughan,"[""Outdoor swimming pool"",""Free parking"",""Family rooms"",""Non-smoking rooms"",""Outdoor swimming pool"",""Free parking"",""Family rooms"",""Non-smoking rooms""]",3,Canada,"Vaughan,   Ontario",105.27,8.42,North America
5723414,Sasfészek Falusi szálláshely,"[""Outdoor swimming pool"",""Free parking"",""Free Wifi"",""Family rooms"",""Non-smoking rooms"",""Breakfast"",""Outdoor swimming pool"",""Free parking"",""Free Wifi"",""Family rooms"",""Non-smoking rooms"",""Breakfast""]",5,Hungary,Mata-Hotobagy,94.01,7.986,Europe
1700312,Comfort Hotel Kista,"[""Free parking"",""Non-smoking rooms"",""Family rooms"",""Very Good Breakfast"",""Free parking"",""Non-smoking rooms"",""Family rooms"",""Very Good Breakfast""]",3,Sweden,Stockholm,144.74,8.518,Europe
5485366,Tropical Beach Suite,"[""Outdoor swimming pool"",""Free parking"",""Family rooms"",""Wifi"",""Beachfront"",""Airport shuttle"",""Non-smoking rooms"",""Terrace"",""Garden"",""Outdoor swimming pool"",""Free parking"",""Family rooms"",""Wifi"",""Beachfront"",""Airport shuttle"",""Non-smoking rooms"",""Terrace"",""Garden""]",3,Jamaica,Montego Bay,113.76,9.272,North America
1081416,The Ocean Inn,"['family rooms', 'fitness centre with gym / workout room', 'free high speed internet (wifi)', 'free parking', 'kitchenette', 'laundry service', 'non-smoking hotel', 'non-smoking rooms', 'pool', 'refrigerator in room', 'sauna', 'self-serve laundry', 'suites']",3,Antigua,English Harbour,134.35,9.242,North America
1673618,Den View Guest House,"[""Free Wifi"",""Free Wifi""]",3,Botswana,Francistown,104.47,9.567,Africa
1016264,Friends Life,"['air conditioning', 'free high speed internet (wifi)', 'free parking', 'microwave', 'non-smoking hotel', 'non-smoking rooms', 'pets allowed ( dog / pet friendly )', 'refrigerator in room']",2,Russia,Saint Petersburg,133.54,9.015,Europe
1887660,Zak Residence,"[""Free Wifi"",""Fitness center"",""Terrace"",""Elevator"",""Baggage storage"",""Free Wifi"",""Fitness center"",""Terrace"",""Elevator"",""Baggage storage""]",3,Sri Lanka,Colombo,142.53,5.556,Asia
5002055,HOTEL LUNA,"['accessible rooms', 'air conditioning', 'breakfast included', 'children activities (kid / family friendly)', 'dry cleaning', 'family rooms', 'fitness centre with gym / workout room', 'free high speed internet (wifi)', 'free parking', 'kitchenette', 'laundry service', 'meeting rooms', 'microwave', 'non-smoking hotel', 'non-smoking rooms', 'pets allowed ( dog / pet friendly )', 'public wifi', 'refrigerator in room', 'self-serve laundry', 'smoking rooms available', 'suites', 'wheelchair access']",5,Russia,Bratsk,144.95,7.81,Europe
1253104,Hafjell Hotel,"[""Free parking"",""Free Wifi"",""Free parking"",""Free Wifi""]",3,Norway,Hafjell,167.38,8.305,Europe
